BATCHSENDER,BATCHRECEIVER,XID,BATCHDATE,MSG_CODE,MSG_LEVEL,MSG_NAME,DESCRIPTION,ORGCODE,REFPOSITIONID
НСИ,OSGMU,1daeec09-2411-4023-9293-1008049f91cd,17.09.2018 15:52:11,,,,,,
НСИ,OSGMU,1daeec09-2411-4023-9293-1008049f91cd,17.09.2018 15:52:11,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,57b34d08-bdf7-4955-b8bc-ef87911acc1b,17.09.2018 15:52:43,,,,,,
НСИ,OSGMU,57b34d08-bdf7-4955-b8bc-ef87911acc1b,17.09.2018 15:52:43,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,366fd52a-6824-4da7-9033-3edaa606305a,17.09.2018 15:54:53,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,366fd52a-6824-4da7-9033-3edaa606305a,17.09.2018 15:54:53,,,,,,
НСИ,OSGMU,0a4e057a-9036-4247-82da-6428f1e474c9,17.09.2018 15:55:24,,,,,,
НСИ,OSGMU,0a4e057a-9036-4247-82da-6428f1e474c9,17.09.2018 15:55:24,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,2628689d-bbe1-49e8-8f35-eea650188a29,17.09.2018 15:55:52,,,,,,
НСИ,OSGMU,2628689d-bbe1-49e8-8f35-eea650188a29,17.09.2018 15:55:52,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,330b0658-a716-4fc2-a719-632d82a7f496,17.09.2018 15:56:25,,,,,,
НСИ,OSGMU,330b0658-a716-4fc2-a719-632d82a7f496,17.09.2018 15:56:25,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,05e34e20-90ce-4fd4-a2fd-a95d41a50a34,17.09.2018 15:56:57,,,,,,
